source,source_page,source_content,similarities,exam,semester,question_number,question_content
6c_complete_textref.pdf,2263,"Over the years, studies have been performed to detect the cause of insurance company failure and therefore sharpen the tools that are available to monitor solvency. The American Academy of Actuaries (AAA) has issued three such studies that, collectively, have examined property/casualty insurance company insolvencies over a 40-year period, from 1969 through 2009. The following contains the results of these studies and common themes observed in insolvent companies prior to their demise",0.8470298261427337,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,2299,"Solvency II was developed as a group wide solvency regime. The U.S. regime, being state-based, is focused on the regulation of individual statutory entities with capital “walled” off from other entities in the group. However, pressure stemming from the financial crisis in 2008 combined with closer coordination between international insurance regulators led to the NAIC’s Solvency Modernization Initiative (“SMI”)",0.8397962387343931,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,1621,"Munch, P., and D. E. Sm allwood, 1982, Theory of Solvency Regulation in the Property and Casualty Insurance Industry, in: Gary From m , ed., Studies in Public Regulation (Cam bridge, MA: MIT Press)",0.8374752980670546,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,1692,"State Funds With enactment of state workers compensation laws, the need for workers compensation insurance created its own set of problems, while solving others. Employers feared they would be forced out of business if refused coverage by insurance companies. They were also fearful that insurance carriers might impose excessive premium rates that would be a financial burden. High premium rates could negatively affect a state’s economy and ultimately limit opportunities for employment. Another fear was that because the mandatory nature of the coverage reduces elasticity of demand, insurance rates might soar, enabling insurers to reap unfair profits. Some state legislators addressed these concerns by establishing state workers compensation insurance funds to provide a stable source of affordable insurance coverage",0.8352673826700296,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,1605,"Regulatory interaction: Insurance is highly regulated. Quick approval of policy form s, prem ium rates, and class plans from regulators gives insurers com petitive advantages over their peers. Rating agencies check if the insurer lobbies in state and federal arenas or relies on trade organizations. Does the insurer have rate filings and class plans approved by state insurance departm ents, or does it rely on bureau filings and class plans? Claims handling: Insurers’ cash outflow depends on their claim s handling. Som e insurers settle claim s quickly to avoid litigation expenses; others fight dubious claim s to avoid future claim s. Asbestos claim s show the m erits of both strategies. Settling a class-action suit quickly is less risky and usually costs less than allowing the suit to proceed to trial. But quick settlem ents prom pt m ore claim s",0.8336257617782475,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,2032,"Several high-profile insurance companies engaged in finite reinsurance arrangements in the early 2000s to boost their financial results through improper accounting. This behavior prompted the NAIC to adopt additional disclosure requirements, including an expansion of the Property & Casualty Interrogatories",0.8331237062665672,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,214,"Third, the two principal rationales for maintaining a tort model in automobile insurance compensation, subject to debate since mandatory insurance was introduced to the system, have become even more seriously weakened over the last three decades in Alberta due to changing social, economic and commercial conditions",0.8322027510707531,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,1626,"The legislation requires that all risk classification systems be just and reasonable, reasonably predictive of risk, and distinguish fairly between risks. Also, under legislation, rates must be just and reasonable, not impair the solvency of the insurer, and not be excessive in relation to the financial circumstances of the insurer",0.8317914843166093,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,1785,"In the recent past, individual insurers have started taking steps to address this coverage gap, but it remains clear that, as an industry and as a country, a more comprehensive and institutionalized solution is needed to tackle the pressing challenges faced by high-risk properties",0.8300325895800452,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
6c_complete_textref.pdf,1858,The legislation is at once very broad and open to a wide latitude of interpretation and at the same time regulations are very prescriptive as to how insurance companies can deliver the product. This creates an opening for disputes as to interpretation on the one hand and restrictions on efficiency on the other. It is a structural flaw in the system,0.8296891570035783,6c,fall_2019,1a,Briefly describe three reasons the insurance industry was singled out for specific solvency legislation in the 1870s.
